aya1,STUDBME2,aya2,DIRECT-SUDESKTOP-47FLMSPmsXJ,POCO F3,Daisy,Maisaa,Mohamed���s iPhone,Aya,Redmi,CMP-lab1,Farouk,El-lab,y9,CMP_LAB1,CMP_LAB4,CMP_LAB3,CMP_LAB2,sheren,YMEM,STUDBME3,D-Link_DAP-1360,madoo,WE_B27C4B,WE_0CF411,CUFE,badra22,youssef,ahmedNasser,location
-47,-50,-86,-69,-86,-60,-79,-100,-82,-100,-64,-100,-100,-62,-61,-100,-100,-58,-58,-100,-100,-86,-48,-77,-54,-100,-100,-100,-84,HW 31
-52,-53,-100,-100,-100,-72,-76,-100,-100,-100,-100,-100,-100,-100,-60,-61,-60,-60,-100,-79,-100,-100,-57,-100,-51,-100,-100,-100,-100,HW 31
-45,-48,-86,-79,-82,-67,-80,-100,-100,-100,-64,-100,-100,-52,-62,-100,-100,-63,-64,-100,-100,-100,-77,-100,-57,-100,-80,-100,-100,HW 31
-52,-53,-87,-80,-80,-64,-68,-100,-100,-100,-61,-100,-100,-56,-100,-61,-59,-58,-61,-100,-100,-100,-55,-100,-53,-100,-78,-100,-76,HW 31
-43,-52,-84,-66,-90,-64,-69,-100,-100,-100,-100,-100,-100,-100,-58,-58,-100,-100,-55,-100,-100,-100,-49,-100,-52,-100,-100,-100,-76,HW 31
-55,-54,-100,-100,-100,-62,-68,-100,-75,-100,-100,-100,-100,-100,-100,-100,-63,-64,-58,-76,-100,-100,-49,-100,-56,-100,-100,-100,-71,HW 31
-52,-58,-79,-78,-100,-66,-69,-100,-80,-100,-73,-100,-100,-100,-72,-71,-70,-71,-75,-73,-100,-100,-50,-100,-55,-100,-100,-100,-100,HW 31
-54,-49,-100,-70,-100,-58,-85,-100,-100,-81,-69,-100,-100,-100,-61,-60,-62,-60,-61,-100,-100,-100,-60,-100,-52,-100,-100,-100,-82,HW 31
-51,-48,-78,-68,-77,-71,-78,-100,-78,-70,-61,-100,-100,-100,-100,-57,-54,-100,-56,-100,-100,-100,-64,-100,-100,-100,-100,-100,-85,HW 31
-54,-48,-100,-75,-85,-64,-100,-100,-100,-61,-65,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-74,-100,-100,HW 31
-48,-49,-74,-100,-85,-66,-100,-100,-100,-72,-59,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-80,-53,-64,-73,-100,-100,HW 31
-50,-53,-79,-77,-84,-62,-74,-100,-100,-77,-70,-100,-74,-100,-59,-60,-60,-59,-55,-100,-100,-91,-61,-100,-58,-67,-100,-100,-100,HW 31
-49,-48,-73,-66,-82,-58,-75,-100,-89,-66,-72,-74,-73,-100,-67,-67,-67,-66,-59,-66,-100,-100,-52,-83,-54,-71,-100,-100,-100,HW 31
-45,-48,-75,-66,-72,-68,-74,-100,-100,-66,-56,-100,-70,-100,-57,-68,-59,-59,-65,-100,-100,-100,-57,-100,-58,-63,-100,-100,-100,HW 31
-52,-43,-66,-73,-85,-61,-100,-100,-100,-80,-67,-100,-100,-100,-60,-58,-58,-60,-55,-100,-100,-100,-61,-74,-100,-66,-100,-100,-87,HW 31
-51,-53,-83,-69,-81,-71,-81,-100,-90,-75,-65,-74,-68,-100,-60,-58,-60,-58,-58,-100,-100,-100,-69,-100,-55,-76,-100,-100,-100,HW 31
-54,-45,-78,-74,-81,-57,-81,-100,-100,-78,-59,-71,-100,-100,-52,-100,-100,-50,-57,-66,-100,-89,-65,-100,-100,-65,-100,-100,-100,HW 31
-59,-48,-74,-68,-77,-56,-100,-100,-100,-100,-60,-100,-100,-100,-100,-54,-51,-52,-52,-100,-100,-100,-64,-82,-58,-60,-100,-100,-100,HW 31
-56,-46,-77,-68,-79,-57,-100,-100,-100,-72,-59,-76,-76,-100,-59,-61,-100,-100,-57,-100,-100,-100,-56,-100,-61,-100,-100,-100,-100,HW 31
-55,-52,-70,-67,-76,-64,-76,-87,-100,-100,-64,-100,-72,-100,-100,-100,-54,-55,-59,-74,-100,-100,-59,-100,-55,-64,-100,-100,-100,HW 31
-50,-44,-76,-68,-74,-55,-76,-100,-100,-68,-66,-100,-72,-100,-61,-64,-100,-100,-58,-67,-100,-84,-62,-100,-62,-100,-100,-100,-82,HW 31
-56,-56,-69,-65,-72,-63,-80,-100,-100,-80,-55,-75,-87,-100,-59,-57,-54,-56,-60,-69,-100,-90,-65,-100,-100,-100,-100,-100,-100,HW 31
-54,-51,-76,-68,-77,-65,-78,-100,-88,-69,-57,-70,-100,-100,-100,-100,-52,-100,-55,-74,-100,-85,-55,-100,-64,-100,-74,-100,-100,HW 31
-58,-43,-68,-66,-75,-67,-81,-100,-100,-100,-57,-100,-100,-100,-56,-100,-100,-100,-100,-75,-100,-100,-74,-81,-100,-100,-100,-69,-100,HW 31
-55,-47,-71,-63,-72,-61,-80,-90,-100,-100,-57,-83,-100,-100,-100,-100,-63,-59,-61,-70,-100,-100,-60,-85,-63,-68,-100,-100,-100,HW 31
