aya2,Daisy,aya1,STUDBME2,y9,Farouk,CMP_LAB3,CUFE,CMP_LAB1,CMP_LAB4,CMP_LAB2,STUDBME3,sheren,RehabLab,eego024,STUDBME1,Redmi,CMP-lab1,El-lab,Maisaa,POCO F3,YMEM,WE_0CF411,Ayazz,BMEStudentLab3,location
-81,-65,-79,-44,-48,-67,-50,-62,-49,-49,-50,-100,-50,-65,-100,-100,-100,-65,-68,-80,-71,-100,-100,-100,-100,HW 32
-73,-58,-58,-47,-49,-51,-47,-58,-100,-100,-51,-80,-100,-100,-100,-100,-100,-100,-100,-75,-80,-74,-100,-100,-100,HW 32
-76,-56,-57,-48,-57,-61,-100,-100,-50,-51,-100,-100,-49,-100,-100,-61,-59,-100,-100,-73,-75,-67,-100,-100,-100,HW 32
-67,-58,-60,-48,-47,-62,-100,-63,-52,-100,-51,-78,-50,-64,-73,-100,-60,-68,-71,-72,-77,-100,-100,-100,-100,HW 32
-72,-56,-59,-50,-50,-61,-49,-62,-46,-48,-47,-100,-51,-100,-100,-100,-55,-100,-71,-77,-73,-71,-66,-100,-100,HW 32
-74,-67,-64,-44,-50,-100,-100,-100,-57,-58,-100,-100,-64,-100,-100,-100,-61,-61,-100,-77,-81,-100,-65,-100,-100,HW 32
-72,-88,-60,-46,-54,-100,-55,-67,-53,-54,-55,-100,-55,-65,-73,-63,-61,-64,-70,-82,-74,-100,-100,-100,-100,HW 32
-65,-78,-67,-45,-53,-100,-57,-75,-55,-58,-57,-92,-100,-100,-100,-100,-62,-100,-68,-82,-71,-73,-100,-100,-100,HW 32
-78,-64,-61,-45,-57,-68,-52,-65,-52,-54,-52,-88,-56,-100,-75,-100,-73,-65,-73,-73,-79,-68,-67,-100,-100,HW 32
-71,-59,-56,-47,-54,-100,-50,-69,-49,-50,-52,-100,-54,-63,-100,-57,-55,-72,-65,-72,-74,-100,-63,-78,-100,HW 32
-79,-58,-54,-43,-100,-100,-58,-67,-55,-56,-55,-88,-100,-74,-70,-100,-60,-80,-69,-76,-76,-70,-100,-78,-100,HW 32
-75,-57,-56,-44,-53,-56,-52,-100,-52,-53,-53,-100,-54,-100,-100,-58,-55,-64,-72,-72,-76,-70,-68,-100,-100,HW 32
-69,-61,-58,-44,-54,-100,-55,-71,-55,-54,-55,-90,-57,-100,-100,-100,-54,-61,-71,-100,-71,-100,-100,-71,-100,HW 32
-80,-59,-61,-47,-56,-100,-56,-63,-54,-54,-55,-100,-55,-69,-100,-100,-57,-67,-69,-75,-74,-100,-100,-71,-100,HW 32
-77,-65,-56,-54,-51,-57,-56,-61,-59,-58,-57,-100,-47,-100,-70,-59,-56,-100,-69,-100,-76,-100,-100,-70,-100,HW 32
-75,-59,-62,-46,-55,-63,-57,-63,-56,-100,-54,-100,-56,-100,-100,-100,-65,-66,-75,-76,-71,-100,-70,-100,-100,HW 32
-73,-64,-66,-45,-51,-58,-51,-65,-100,-100,-100,-100,-100,-70,-74,-100,-68,-61,-65,-76,-80,-100,-100,-75,-100,HW 32
-72,-67,-64,-46,-71,-59,-53,-70,-52,-53,-54,-100,-55,-72,-73,-100,-68,-60,-100,-76,-73,-100,-100,-100,-100,HW 32
-84,-59,-69,-46,-52,-100,-54,-61,-57,-68,-57,-100,-49,-68,-71,-100,-58,-66,-67,-100,-79,-100,-100,-100,-100,HW 32
-84,-68,-68,-48,-49,-100,-53,-63,-53,-53,-54,-100,-51,-64,-72,-100,-61,-100,-69,-100,-75,-100,-100,-100,-100,HW 32
-80,-67,-65,-48,-57,-66,-52,-59,-52,-53,-52,-87,-47,-59,-100,-72,-62,-67,-75,-100,-84,-100,-100,-100,-100,HW 32
-100,-69,-65,-55,-64,-55,-54,-59,-55,-54,-55,-100,-60,-71,-100,-100,-67,-68,-100,-100,-81,-100,-100,-100,-100,HW 32
-78,-71,-71,-52,-58,-100,-50,-66,-52,-52,-51,-100,-52,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 32
-78,-68,-64,-51,-52,-64,-48,-64,-50,-51,-49,-100,-48,-63,-72,-68,-58,-66,-100,-100,-76,-100,-100,-100,-100,HW 32
-85,-64,-68,-52,-100,-100,-46,-58,-46,-47,-47,-100,-54,-100,-100,-68,-100,-100,-79,-100,-100,-100,-100,-100,-100,HW 32
-73,-65,-62,-51,-57,-60,-53,-64,-56,-55,-55,-100,-100,-66,-77,-100,-100,-100,-73,-100,-78,-77,-100,-100,-100,HW 32
