FaryLink_260CCF,STUDBME2,adel,sheren,aya1,STUDBME1,Daisy,Redmi,Ramadan,Ammar's samsung,ARC3,"Mahmoud Mohamed ",El-modarag,Aya,badra22,CMP_LAB2,CUFE,WE_0CF411,Alaa1,ahmedNasser,Farouk,Maisaa,Mariooma,CMP_LAB3,CMP_LAB4,RehabLab,CMP_LAB1,ARC1,location
-78,-80,-100,-82,-84,-46,-92,-65,-100,-100,-100,-81,-61,-71,-100,-77,-100,-76,-50,-80,-100,-51,-100,-100,-76,-100,-77,-74,HW 11
-79,-71,-100,-80,-67,-100,-89,-60,-47,-78,-59,-100,-63,-74,-100,-79,-82,-100,-50,-80,-100,-63,-100,-78,-100,-90,-100,-100,HW 11
-76,-66,-100,-75,-73,-43,-100,-100,-51,-80,-100,-78,-66,-71,-100,-71,-100,-100,-50,-84,-100,-100,-100,-69,-70,-100,-72,-100,HW 11
-75,-62,-100,-74,-72,-38,-89,-72,-100,-100,-61,-100,-62,-72,-100,-74,-78,-80,-58,-78,-100,-56,-100,-100,-100,-100,-73,-100,HW 11
-76,-69,-100,-77,-73,-100,-88,-70,-51,-100,-59,-80,-64,-70,-100,-100,-87,-100,-63,-84,-100,-75,-100,-100,-100,-100,-100,-100,HW 11
-82,-73,-86,-72,-66,-100,-84,-53,-48,-81,-100,-82,-67,-74,-100,-100,-100,-100,-56,-86,-100,-62,-67,-100,-74,-100,-77,-100,HW 11
-78,-62,-92,-71,-64,-34,-91,-49,-49,-100,-65,-82,-66,-75,-100,-68,-76,-100,-64,-78,-100,-79,-100,-100,-100,-100,-69,-100,HW 11
-100,-72,-87,-69,-60,-100,-82,-56,-51,-100,-60,-100,-67,-78,-100,-71,-100,-100,-72,-75,-72,-100,-72,-72,-71,-100,-72,-100,HW 11
-77,-60,-81,-72,-72,-38,-92,-55,-55,-75,-100,-81,-70,-64,-87,-100,-78,-75,-52,-79,-100,-54,-100,-100,-100,-100,-100,-100,HW 11
-73,-58,-91,-71,-71,-39,-86,-72,-46,-78,-61,-82,-68,-70,-100,-100,-100,-100,-56,-81,-100,-63,-100,-72,-100,-100,-100,-100,HW 11
-91,-60,-83,-79,-76,-100,-88,-68,-47,-74,-61,-80,-67,-77,-100,-100,-100,-73,-66,-76,-100,-100,-100,-71,-100,-100,-100,-100,HW 11
-73,-60,-85,-74,-70,-45,-100,-67,-51,-72,-100,-100,-62,-75,-100,-100,-100,-76,-59,-100,-100,-50,-100,-100,-74,-100,-72,-100,HW 11
-82,-58,-81,-70,-71,-44,-83,-61,-100,-69,-55,-72,-71,-69,-100,-74,-81,-100,-66,-83,-100,-57,-100,-100,-100,-100,-100,-100,HW 11
-65,-64,-89,-86,-71,-100,-100,-58,-51,-69,-100,-82,-71,-75,-100,-100,-80,-73,-58,-100,-100,-54,-100,-85,-71,-100,-71,-100,HW 11
-75,-65,-85,-81,-76,-49,-94,-58,-57,-77,-100,-80,-100,-78,-100,-73,-74,-100,-63,-72,-100,-53,-100,-70,-72,-100,-72,-75,HW 11
-79,-68,-85,-73,-70,-100,-85,-56,-100,-71,-62,-74,-70,-74,-100,-100,-82,-100,-61,-63,-100,-66,-100,-67,-100,-100,-100,-100,HW 11
-81,-68,-86,-73,-66,-100,-92,-53,-62,-65,-100,-79,-100,-75,-100,-100,-79,-71,-64,-69,-100,-100,-100,-100,-71,-100,-69,-100,HW 11
-76,-64,-100,-70,-67,-48,-81,-55,-56,-65,-58,-75,-69,-77,-100,-72,-75,-72,-72,-65,-100,-62,-100,-100,-100,-100,-69,-100,HW 11
-71,-65,-90,-73,-75,-100,-81,-62,-57,-100,-100,-79,-74,-75,-100,-75,-77,-75,-67,-75,-100,-70,-77,-74,-75,-100,-100,-100,HW 11
-76,-64,-85,-70,-64,-41,-87,-63,-61,-72,-64,-76,-100,-69,-100,-100,-100,-74,-71,-72,-100,-56,-100,-100,-74,-86,-72,-100,HW 11
-65,-54,-100,-68,-69,-45,-85,-60,-100,-72,-73,-66,-69,-100,-80,-73,-100,-74,-71,-66,-100,-67,-73,-73,-100,-100,-71,-100,HW 11
-61,-54,-86,-71,-61,-100,-85,-59,-64,-72,-68,-72,-74,-77,-100,-77,-78,-70,-68,-60,-100,-64,-75,-77,-76,-91,-100,-100,HW 11
-62,-63,-88,-83,-66,-100,-87,-56,-65,-76,-100,-72,-70,-66,-100,-76,-100,-76,-70,-65,-100,-59,-80,-100,-73,-100,-75,-100,HW 11
-70,-68,-91,-76,-70,-41,-84,-57,-60,-67,-67,-72,-62,-63,-100,-70,-81,-100,-67,-65,-100,-66,-100,-100,-100,-100,-100,-100,HW 11
-67,-57,-84,-75,-75,-100,-90,-62,-56,-100,-65,-100,-67,-69,-100,-71,-76,-100,-65,-65,-70,-55,-100,-73,-72,-100,-71,-100,HW 11
-63,-70,-100,-82,-82,-46,-89,-66,-64,-70,-100,-79,-64,-71,-100,-73,-100,-74,-63,-69,-100,-61,-100,-100,-100,-100,-73,-100,HW 11
-66,-75,-88,-76,-73,-47,-87,-59,-100,-100,-58,-73,-70,-74,-100,-76,-100,-100,-70,-76,-100,-60,-100,-77,-74,-100,-100,-100,HW 11
-68,-100,-90,-77,-75,-100,-85,-64,-55,-78,-70,-76,-69,-66,-100,-100,-81,-100,-59,-71,-100,-54,-100,-100,-72,-89,-72,-100,HW 11
-72,-70,-92,-86,-75,-44,-100,-49,-55,-82,-66,-73,-62,-65,-100,-72,-100,-79,-57,-73,-100,-56,-81,-100,-100,-100,-72,-100,HW 11
-77,-66,-89,-75,-71,-45,-88,-68,-44,-88,-57,-100,-65,-70,-100,-100,-100,-100,-57,-73,-100,-48,-100,-100,-100,-100,-100,-100,HW 11
-87,-74,-100,-76,-78,-100,-92,-52,-48,-100,-100,-87,-56,-59,-100,-100,-100,-100,-51,-83,-100,-100,-100,-100,-100,-100,-100,-100,HW 11
-80,-68,-100,-82,-77,-33,-91,-48,-48,-100,-100,-89,-62,-59,-90,-77,-100,-79,-48,-82,-100,-53,-100,-100,-100,-100,-78,-79,HW 11
-82,-72,-100,-76,-74,-100,-88,-69,-100,-83,-100,-100,-70,-68,-100,-100,-100,-100,-47,-79,-76,-47,-100,-100,-78,-100,-100,-100,HW 11
-82,-67,-100,-74,-68,-100,-86,-53,-49,-76,-100,-86,-73,-79,-100,-100,-100,-73,-53,-81,-74,-45,-100,-100,-100,-100,-71,-100,HW 11
-73,-73,-87,-73,-68,-39,-90,-45,-100,-100,-100,-84,-64,-69,-100,-72,-100,-74,-51,-100,-100,-46,-100,-100,-100,-100,-100,-100,HW 11
-81,-58,-88,-78,-74,-100,-87,-66,-46,-100,-100,-82,-61,-65,-100,-100,-83,-100,-58,-76,-71,-56,-72,-76,-100,-100,-100,-100,HW 11
-76,-64,-81,-71,-71,-100,-87,-47,-56,-78,-60,-79,-61,-71,-100,-69,-100,-75,-62,-68,-100,-48,-76,-100,-100,-86,-68,-76,HW 11
-77,-61,-87,-77,-68,-39,-87,-53,-46,-76,-100,-84,-62,-65,-100,-71,-80,-70,-64,-74,-100,-56,-68,-70,-71,-100,-71,-100,HW 11
-77,-65,-83,-82,-63,-100,-81,-64,-58,-68,-100,-74,-69,-69,-100,-100,-78,-100,-66,-68,-100,-100,-69,-100,-68,-81,-70,-100,HW 11
-67,-66,-90,-74,-66,-100,-81,-61,-58,-68,-100,-70,-71,-79,-78,-71,-100,-67,-69,-84,-100,-58,-74,-74,-100,-81,-70,-100,HW 11
-79,-57,-89,-72,-70,-47,-82,-63,-100,-73,-70,-73,-69,-72,-100,-72,-100,-66,-67,-66,-70,-60,-100,-80,-73,-100,-72,-100,HW 11
