madoo,aya1,Daisy,STUDBME2,ahmedNasser,Aya,"Mahmoud Mohamed ",Redmi,CMP-lab1,ARC3,DIRECT-SUDESKTOP-47FLMSPmsXJ,El-modarag,Alaa1,Maisaa,CUFE,CMP_LAB1,badra22,CMP_LAB2,WE_0CF411,sheren,realme 7i,STUDBME1,CMP_LAB3,El-lab,khhh_h,CMP_LAB4,Ramadan,POCO F3,location
-100,-56,-77,-52,-78,-100,-87,-56,-100,-100,-83,-64,-85,-100,-100,-66,-100,-100,-65,-100,-100,-100,-100,-100,-100,-65,-100,-100,HW 22
-100,-61,-100,-75,-72,-100,-72,-76,-100,-70,-82,-70,-76,-100,-100,-100,-100,-67,-66,-69,-100,-55,-67,-74,-100,-100,-68,-87,HW 22
-100,-66,-79,-55,-81,-100,-80,-62,-70,-100,-82,-67,-75,-100,-73,-67,-100,-69,-66,-100,-100,-100,-68,-100,-100,-68,-100,-100,HW 22
-100,-72,-75,-60,-75,-84,-79,-64,-100,-100,-86,-72,-100,-100,-100,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,HW 22
-100,-65,-73,-48,-82,-100,-100,-65,-100,-100,-100,-75,-75,-100,-100,-100,-76,-70,-100,-100,-100,-57,-71,-100,-100,-70,-100,-100,HW 22
-100,-64,-78,-64,-73,-100,-83,-64,-100,-100,-83,-100,-81,-100,-80,-73,-100,-74,-100,-79,-100,-100,-73,-100,-100,-76,-100,-100,HW 22
-100,-73,-100,-59,-79,-71,-84,-62,-100,-71,-100,-70,-76,-100,-100,-100,-100,-72,-66,-100,-100,-56,-68,-100,-79,-100,-100,-100,HW 22
-100,-68,-83,-60,-76,-75,-100,-58,-100,-69,-83,-72,-71,-100,-100,-67,-100,-100,-100,-100,-100,-62,-66,-100,-64,-80,-66,-100,HW 22
-100,-66,-76,-57,-68,-78,-80,-62,-100,-100,-100,-69,-72,-100,-100,-69,-100,-70,-71,-71,-82,-100,-100,-100,-78,-100,-58,-100,HW 22
-100,-74,-76,-51,-80,-75,-100,-100,-100,-69,-88,-69,-70,-100,-69,-68,-100,-68,-71,-69,-100,-45,-68,-100,-66,-68,-69,-100,HW 22
-100,-68,-77,-56,-74,-78,-86,-62,-100,-100,-84,-69,-67,-100,-72,-66,-100,-67,-100,-71,-100,-100,-68,-100,-100,-67,-69,-100,HW 22
-100,-66,-75,-50,-80,-74,-100,-63,-100,-100,-87,-75,-77,-100,-75,-67,-100,-69,-69,-69,-100,-100,-71,-100,-100,-100,-100,-100,HW 22
-100,-64,-71,-48,-70,-77,-81,-58,-71,-78,-100,-77,-67,-100,-70,-64,-100,-64,-63,-100,-84,-46,-63,-100,-100,-64,-67,-100,HW 22
-100,-68,-75,-52,-77,-68,-89,-57,-70,-100,-100,-66,-74,-100,-73,-69,-100,-69,-100,-100,-84,-100,-71,-100,-100,-70,-100,-100,HW 22
-100,-53,-68,-60,-100,-100,-100,-69,-100,-100,-77,-100,-72,-100,-100,-100,-100,-67,-100,-66,-100,-53,-66,-100,-100,-100,-71,-100,HW 22
-100,-68,-75,-51,-80,-100,-86,-60,-79,-100,-87,-100,-77,-100,-100,-60,-100,-100,-100,-66,-100,-52,-100,-100,-100,-64,-69,-100,HW 22
-100,-56,-73,-55,-71,-100,-100,-56,-100,-100,-79,-100,-74,-100,-100,-58,-100,-59,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-100,-54,-80,-65,-74,-100,-86,-55,-68,-100,-80,-67,-76,-100,-70,-100,-100,-100,-63,-63,-100,-58,-100,-100,-100,-66,-73,-100,HW 22
-100,-66,-76,-55,-79,-100,-85,-74,-100,-100,-85,-76,-79,-100,-77,-69,-100,-69,-100,-63,-100,-60,-100,-100,-100,-100,-100,-100,HW 22
-100,-66,-81,-61,-75,-75,-100,-67,-100,-100,-82,-71,-73,-100,-78,-67,-100,-67,-68,-68,-100,-100,-70,-100,-81,-67,-72,-100,HW 22
-100,-63,-71,-53,-82,-82,-100,-58,-100,-100,-100,-67,-77,-100,-71,-68,-100,-100,-68,-57,-100,-48,-69,-100,-67,-69,-100,-100,HW 22
-100,-58,-77,-47,-77,-75,-100,-64,-100,-100,-100,-100,-72,-100,-73,-69,-100,-65,-62,-68,-100,-44,-100,-79,-100,-69,-64,-100,HW 22
-100,-64,-64,-50,-73,-78,-100,-64,-100,-74,-100,-67,-72,-100,-73,-65,-100,-66,-61,-58,-100,-100,-65,-100,-100,-66,-64,-100,HW 22
